StoreProductID|Stock|Price|Cost|DistributorID
15382370|57|59.3578|53.9616|10
13944566|130|20.4389|18.5808|10
13955846|70|110.1408|100.1280|10
13976760|853|10.8909|9.9008|10
13986295|46|13.6629|12.4208|10
13994163|48|60.3680|54.8800|10
11939422|74|276.5963|251.4512|10
14016326|13|916.8914|833.5376|10
14021104|17|127.3395|115.7632|10
14016297|19|522.1339|474.6672|10
14027550|100|1719.8966|1563.5424|10
10961490|34|550.9381|500.8528|10
14049685|85|26.2416|23.8560|10
14049453|292|26.2416|23.8560|10
14049325|105|9.9669|9.0608|10
14049327|69|9.9669|9.0608|10
12731086|78|1550.9032|1409.9120|10
13828276|1051|413.6317|376.0288|10
14097056|204|327.5888|297.8080|10
15194659|333|262.0710|238.2464|10
14003514|84|20.5128|18.6480|10
14107984|43|20.3403|18.4912|10
14107899|50|13.6629|12.4208|10
14107903|32|20.3403|18.4912|10
14107892|50|20.9317|19.0288|10
14107537|30|24.3566|22.1424|10
14108050|38|25.5394|23.2176|10
14108049|38|25.5394|23.2176|10
14108884|14|573.7301|521.5728|10
14035747|22|19.6750|17.8864|10
14122141|26|134.8054|122.5504|10
14121333|11|155.0349|140.9408|10
14122145|24|134.8054|122.5504|10
14125548|84|687.0494|624.5904|10
13298450|11|32.8944|29.9040|9
13084591|48|524.8813|477.1648|9
5479870|17|8.7472|7.9520|9
13617156|76|211.3003|192.0912|9
13646114|97|220.5896|200.5360|9
13613648|65|995.3205|904.8368|9
13614118|770|415.7507|377.9552|9
13830011|18|77.1971|70.1792|9
13829792|28|77.1971|70.1792|9
13829799|26|553.6608|503.3280|9
13938817|10|2485.3752|2259.4320|9
13988223|12|718.4162|653.1056|9
14020916|217|34.5206|31.3824|9
14005219|22|31.4037|28.5488|9
13325659|17|22.1390|20.1264|9
13321105|22|6.8622|6.2384|9
14002091|10|1471.7595|1337.9632|9
12319182|40|12414.8517|11286.2288|9
14051370|12|3.7822|3.4384|9
14053486|41|16.2994|14.8176|9
14051322|19|13.4042|12.1856|9
14053498|34|7.5029|6.8208|9
14053500|20|2.8952|2.6320|9
10931869|18|7.2565|6.5968|9
14107806|69|17.0878|15.5344|9
14107418|55|17.0878|15.5344|9
14110648|10|276.4731|251.3392|9
14126465|14|45.4485|41.3168|9
11430490|284|9148.7827|8317.0752|9
14196509|174|1167.4432|1061.3120|9
14041954|1299|568.7405|517.0368|9
14295976|702|743.4011|675.8192|9
14296229|65|17.1248|15.5680|9
14296073|30|24.9850|22.7136|9
14296147|20|24.9850|22.7136|9
14295980|35|171.3096|155.7360|9
14295818|366|34.5453|31.4048|9
14296190|177|64.1379|58.3072|9
14194243|21|8.5747|7.7952|9
14419766|200|643.5845|585.0768|9
10858761|53|110.7075|100.6432|9
12225534|24|31.8226|28.9296|9
14715748|183|440.2552|400.2320|9
14703737|14|707.0325|642.7568|9
14885309|45|1288.3270|1171.2064|9
9985712|76|382.6469|347.8608|9
10964272|27|165.0018|150.0016|9
15019846|42|33.8800|30.8000|9
15036726|63|108.5022|98.6384|9
13022549|47|52.0397|47.3088|9
4453785|68|33.5720|30.5200|9
5057184|44|81.0656|73.6960|9
4454256|44|26.2293|23.8448|9
15098036|50|20.4635|18.6032|9
4330708|292|2.5502|2.3184|9
10916489|149|362.5406|329.5824|9
10857264|38|51.6947|46.9952|9
4239039|10|565.9315|514.4832|9
10971000|352|236.1498|214.6816|9
1736264|194|292.4522|265.8656|9
12413018|802|8.6486|7.8624|9
10858831|140|27.9294|25.3904|9
15206848|2475|615.3224|559.3840|9
15204900|13|1230.9898|1119.0816|9
14182901|585|536.9795|488.1632|9
12375305|327|617.5400|561.4000|9
10976587|11|33.5474|30.4976|9
13309491|43|733.3357|666.6688|9
13628809|1762|679.6328|617.8480|9
14189245|189|1510.2965|1372.9968|9
10976711|55|23.4819|21.3472|9
10905709|283|40.2618|36.6016|9
14024175|370|58.0149|52.7408|9
15433708|300|270.9291|246.2992|9
10020385|227|223.9406|203.5824|10
9990547|24|294.0045|267.2768|10
9994290|20|31.7240|28.8400|10
9955544|12|31.7240|28.8400|10
9985360|15|60.1339|54.6672|10
10029394|21|46.1138|41.9216|10
13827511|21|485.5189|441.3808|10
13831839|169|10.7923|9.8112|10
13831837|110|10.7923|9.8112|10
10815034|21|29.6419|26.9472|10
13912064|50|20.5128|18.6480|10
13916427|63|29.3339|26.6672|10
13912065|38|19.3794|17.6176|10
13911338|130|53.2963|48.4512|10
13910892|105|53.2963|48.4512|10
13910896|10|133.2162|121.1056|10
13910897|18|133.2162|121.1056|10
13940498|566|43.5266|39.5696|10
14062997|13|214.8608|195.3280|10
13942161|14|289.9142|263.5584|10
13328725|16|32.8821|29.8928|10
14016169|10|221.9448|201.7680|10
14027735|100|58.7048|53.3680|10
14049328|65|39.8675|36.2432|10
14050186|486|16.6813|15.1648|10
14050180|61|26.7590|24.3264|10
14049455|113|9.9669|9.0608|10
14097469|78|145.5978|132.3616|10
14003512|26|18.5416|16.8560|10
14097787|23|33.5843|30.5312|10
14097788|24|33.5843|30.5312|10
14049667|38|138.3166|125.7424|10
14107889|43|20.3403|18.4912|10
14107610|45|15.1782|13.7984|10
14107987|48|23.2478|21.1344|10
13932970|372|543.4229|494.0208|10
13962145|243|21.8803|19.8912|10
13958772|865|19.6134|17.8304|10
14108167|14|1883.8142|1712.5584|10
14168706|30|29.3339|26.6672|10
14162043|75|22.1514|20.1376|10
14083114|91|411.6605|374.2368|10
14210850|10|148.8872|135.3520|10
