SinchManufacturerID|ManufacturerName|ThumbImageUrl
138|Acco|http://images.stockinthechannel.com/pic/4TQoh-qO7U-9s1cTvBhKMg.c-t.jpg
145|Trident|
151|Griffin|http://images.stockinthechannel.com/pic/ztfZBwcpjE2q2OUZMNrHCg.c-t.jpg
152|Asus|http://images.stockinthechannel.com/pic/hkA1mbUg_Ue56aeB3Uxe3g.c-t.jpg
155|Buffalo|http://images.stockinthechannel.com/pic/ZKue7DyXAkWz93LfKWb-QA.c-t.jpg
158|Sagem|http://images.stockinthechannel.com/pic/-rilRNz1Ik-e_3V_DtU_tA.c-t.jpg
160|Hitachi|http://images.stockinthechannel.com/pic/mqoSkZhC2EiE_eosb6Kk4Q.c-t.jpg
163|Autodesk|http://images.stockinthechannel.com/pic/FW5YSFWrukOWt_SYNp4oWg.c-t.jpg
164|TomTom|http://images.stockinthechannel.com/pic/qAypzieYwkyqSgxcVV0l_w.c-t.jpg
165|Texas Instruments|http://images.stockinthechannel.com/pic/AKeGrw9RhEqdCKlKkHMhYQ.c-t.jpg
167|Sun|http://images.stockinthechannel.com/pic/LSQ-CBfBsU61D0U_VXoksA.c-t.jpg
170|Antec|http://images.stockinthechannel.com/pic/CnxU3MeM5EuAutmNpJAFJA.c-t.jpg
172|Wasp|
173|Avocent|http://images.stockinthechannel.com/pic/4qmBK4cnAkqjGjhRe3huGg.c-t.jpg
174|Sigma|http://images.stockinthechannel.com/pic/udqrczxwfESLGy22VmVR4w.c-t.jpg
175|Conceptronic|http://images.stockinthechannel.com/pic/ukBd0fawa0-VRZ8PSh-IBA.c-t.jpg
176|VMware|http://images.stockinthechannel.com/pic/kifqk1IDKUOZ1eu1odsKvQ.c-t.jpg
177|Wacom|http://images.stockinthechannel.com/pic/w076XX6BmE64XsQaQzs24Q.c-t.jpg
178|Brother|http://images.stockinthechannel.com/pic/a8f6rssgLEqHt-ziDlKv4A.c-t.jpg
180|Siemens|http://images.stockinthechannel.com/pic/_H7IYBVzr0SIzEoqhRUlrg.c-t.jpg
